lat,long,nombre_estacion,id_estacion,capacidad,dirección_completa,direccion_nombre,direccion_altura,direccion_interseccion,barrio
-34.5775895,-58.4074696,156 - Plaza Alemania,156,20,2939 Cavia, Cavia,2939,,Palermo
-34.592735,-58.4450697,158 - VILLARROEL,158,20,1321 Villarroel & Humboldt CABA,1321 Villarroel ,1321, Humboldt CABA,Chacarita
-34.6020779,-58.4196761,161 - Humahuaca,161,20,3912 Humahuaca, Humahuaca,3912,,Almagro
-34.608985,-58.401924,162 - LARREA Y BARTOLOMÉ MITRE,162,20,80 Larrea, Larrea,80,,Balvanera
-34.6095663,-58.4064308,163 - ONCE II,163,30,Bartolome Mitre & Av. Puyrredon,Bartolome Mitre ,, Av. Puyrredon,Balvanera
-34.6181442,-58.3669021,164 - FACULTAD DE INGENERIA,164,20,Estados Unidos 21,Estados Unidos ,21,,San telmo
-34.597048,-58.407614,165 - PLAZA MONSEÑOR MIGUEL DE ANDREA,165,12,Dr Tomas Manuel De  Anchorena &  Jose A. Cabrera,Dr Tomas Manuel De  Anchorena ,,  Jose A. Cabrera,Recoleta
-34.5891897,-58.3932507,166 - Cementerio de Recoleta,166,20,2000 Vicente Lopez, Vicente Lopez,2000,,Recoleta
-34.6070594,-58.4485709,275 - PLAZA 24 DE SEPTIEMBRE,167,16,1355 San Martin Av., San Martin Av.,1355,,Villa crespo
-34.6186217,-58.3812271,168 - Estados Unidos,168,16,Estados Unidos & Lima,Estados Unidos ,, Lima,Constitucion
-34.6032813,-58.3997553,171 - Pasteur,171,20,519 Pasteur, Pasteur,519,,Balvanera
-34.625426,-58.371082,172 - BRASIL,172,16,BRASIL&DEFENSA,BRASIL&DEFENSA,,DEFENSA,San telmo
-34.597225,-58.391768,174 - MINISTERIO DE EDUCACION,174,20,Marcelo T. de Alvear & Rodriguez Peña,Marcelo T. de Alvear ,, Rodriguez Peña,Recoleta
-34.626814,-58.380679,147 - Constitución,175,36,Avenida Juan de Garay 1050,Avenida Juan de Garay ,1050,,Constitucion
-34.6385404,-58.3643961,179 - CASA SAN,179,16,Olavarria 794,Olavarria ,794,,Boca
-34.5926649,-58.4120072,181 - BILLINGHURST Y MANSILLA,181,20,"1520 Billinghurst & Mansilla, Lucio Norberto, General",1520 Billinghurst ,1520," Mansilla, Lucio Norberto, General",Recoleta
-34.5780479,-58.4352466,182 - RAVIGNANI Y GUATEMALA,182,20,"2185 Ravignani, Emilio, Dr. & Guatemala","2185 Ravignani, Emilio, Dr. ",2185, Guatemala,Palermo
-34.6156994,-58.3899728,183 - VIRREY CEVALLOS,183,20,Mexico 1652,Mexico ,1652,,Monserrat
-34.6306129,-58.3913419,184 - Pedro Echague,184,20,Pedro Echague 1878 & Combate De Los Pozos,Pedro Echague 1878 ,1878, Combate De Los Pozos,Parque patricios
-34.6136356,-58.4064415,186 - MANZANA 66,186,20,2875 Moreno, Moreno,2875,,Balvanera
-34.5528626,-58.450854,261 - QUINTEROS LIDORO,187,16,"1483 Quinteros, Lidoro J. Av."," Quinteros, Lidoro J. Av.",1483,,Belgrano
-34.5886889,-58.3852113,189 - POSADAS,189,20,1350 Posadas, Posadas,1350,,Retiro
-34.5850763,-58.4111136,190 - JUNCAL,190,20,"Juncal & Salguero, Jeronimo",Juncal ,," Salguero, Jeronimo",Palermo
-34.6079305,-58.3808358,191 - Rivadavia y 9 de Julio,191,16,Pellegrini Y Rivadavia Av.,Pellegrini Y Rivadavia Av.,,,San nicolas
-34.5908626,-58.4061652,193 - ARENALES Y AGUERO,193,20,Arenales y Aguero,Arenales y Aguero,,,Recoleta
-34.6060758,-58.4224635,194 - PERÓN Y ACUÑA DE FIGUEROA,194,16,3997 TTE. GENERAL JUAN DOMINGO PERON, TTE. GENERAL JUAN DOMINGO PERON,3997,,Almagro
-34.6275351,-58.3657211,196 - HOSPITAL ARGERICH,196,20,750 Pi Y Margall & Necochea,750 Pi Y Margall ,750, Necochea,Boca
-34.613449,-58.4233969,197 - Quintino Bocayuva,197,20,Quintino Bocayuva y Don Bosco,Quintino Bocayuva y Don Bosco,,,Almagro
-34.6222601,-58.4160137,199 - ESTADOS UNIDOS Y BOEDO,199,20,3568 Estados Unidos & Boedo Av.,3568 Estados Unidos ,3568, Boedo Av.,Boedo
-34.5883282,-58.4038684,200 - AUSTRIA Y FRENCH,200,20,2080 Austria, Austria,2080,,Recoleta
-34.583811,-58.390967,001 - FACULTAD DE DERECHO,202,30,Av. Pres. Figueroa Alcorta 2120,Av. Pres. Figueroa Alcorta ,2120,,Recoleta
-34.628511,-58.356004,108 - Usina del Arte,203,24,"Caffarena, Agustin R. & Don Pedro De Mendoza Av.","Caffarena, Agustin R. ",, Don Pedro De Mendoza Av.,Boca
-34.6148209,-58.4278453,167 - Hipólito Yrigoyen,204,24,"4300 Yrigoyen, Hipolito Av."," Yrigoyen, Hipolito Av.",4300,,Almagro
-34.5832733,-58.4279562,125 - F.J.Santamaria de Oro,205,16,F.J.Santamaria de Oro & Guatemala,F.J.Santamaria de Oro ,, Guatemala,Palermo
-34.5849119,-58.4372524,159 - Fitz Roy & Gorriti,206,16,Fitz Roy & Gorriti,Fitz Roy ,, Gorriti,Palermo
-34.5852485,-58.420906,123 - Armenia,207,20,Armenia 2315 & Charcas,Armenia 2315 ,2315, Charcas,Palermo
-34.572132,-58.4113228,335 - General Urquiza,210,20,Figueroa Alcorta & Sarmiento,Figueroa Alcorta ,, Sarmiento,Palermo
-34.600164,-58.434983,129 - Velasco,212,20,J.Ramirez de Velasco 285,J.Ramirez de Velasco ,285,,Villa crespo
-34.5995649,-58.4425362,136 - Acevedo,213,20,Acevedo 220 y padilla,Acevedo  y padilla,220,,Villa crespo
-34.5905808,-58.4289624,142 - Armenia y Gorriti,214,16,Armenia 1525 y Gorriti,Armenia  y Gorriti,1525,,Palermo
-34.5858843,-58.4251226,113 - Guatemala,215,20,Guatemala 4773,Guatemala ,4773,,Palermo
-34.5900976,-58.4114907,059 - Coronel Diaz,216,20,Guemes 3330 & Coronel Diaz,Guemes 3330 ,3330, Coronel Diaz,Palermo
-34.6354717,-58.4279173,097 - Avelino Diaz,220,16,Avelino Diaz&Doblas,Avelino Diaz&Doblas,,Doblas,Parque chacabuco
-34.5727715,-58.4206642,160 - Godoy Cruz y Libertador,222,20,Godoy Cruz  3279 y Libertador,Godoy Cruz   y Libertador,3279,,Palermo
-34.623456,-58.424895,178 - José Marmol,223,16,803 José Marmol, José Marmol,803,,Boedo
-34.6105021,-58.4327935,188 - Aranguren,227,20,"137 Aranguren, Juan F., Dr. & Portugal","137 Aranguren, Juan F., Dr. ",137, Portugal,Caballito
-34.5813811,-58.4514575,243 - PLAZOLETA CELEDONIO FLORES,229,12,Cordoba 6599,Cordoba ,6599,,Chacarita
-34.6051305,-58.4458398,384 - PLAZA BENITO NAZAR,231,16,"Virasoro, Valentin & Figueroa, D Apolinario, Coronel","Virasoro, Valentin ",," Figueroa, D Apolinario, Coronel",Villa crespo
-34.5737764,-58.4868051,281 - Villa Urquiza,235,24,Triunvirato Av. & Roosevelt Franklin D. Av.,Triunvirato Av. ,, Roosevelt Franklin D. Av.,Villa urquiza
-34.5623422,-58.4550484,254 - Plaza Rafael Hernandez,236,16,Vuelta de Obligado 2004,Vuelta de Obligado ,2004,,Belgrano
-34.5650089,-58.4201625,391 - Plaza República de Ecuador,239,20,"Figueroa Alcorta, Pres. Av. & Dorrego Av.","Figueroa Alcorta, Pres. Av. ",, Dorrego Av.,Palermo
-34.5771741,-58.4032162,103 - MALBA,242,20,3051 San Martin De Tours, San Martin De Tours,3051,,Palermo
-34.5839895,-58.4666304,282 - Tronador,247,18,Triunvirato Av. & Tronador,Triunvirato Av. ,, Tronador,Villa ortuzar
-34.5738411,-58.4742812,346 - Plaza Zapiola,248,20,2001 Donado, Donado,2001,,Villa urquiza
-34.6471907,-58.3743002,331 - CALIFORNIA,252,16,California y General Hornos,California y General Hornos,,,Barracas
-34.6206836,-58.4415718,276 - PRIMERA JUNTA,254,16,Av. Rivadavia & Del Barco Centenera,Av. Rivadavia ,, Del Barco Centenera,Caballito
-34.6221889,-58.44855,374 - Puan,255,16,Yerbal 1290,Yerbal ,1290,,Caballito
-34.570829,-58.481233,264 - Plaza Marcos Sastre,257,24,Miller & Monroe,Miller ,, Monroe,Villa urquiza
-34.5655918,-58.4554838,336 - La Pampa,258,16,La Pampa 2512 & Ciudad de la Paz,La Pampa 2512 ,2512, Ciudad de la Paz,Belgrano
-34.616207,-58.4406995,272 - Plaza Bruno Giordano,261,16,Bruno Giordano&Neuquen,Bruno Giordano&Neuquen,,Neuquen,Caballito
-34.60962,-58.4673963,349 - Plaza Saenz Peña,262,16,Andres Lamas&Remedios Escalada de San Martin,Andres Lamas&Remedios Escalada de San Martin,,Remedios Escalada de San Martin,Villa general mitre
-34.6217948,-58.4575279,270 - PLAZA DEL ANGEL GRIS,263,12,Calcena & Avellaneda Av.,Calcena ,, Avellaneda Av.,Flores
-34.550293,-58.4764172,399 - GARCIA DEL RIO,268,28,GARCIA DEL RIO & PINTO,GARCIA DEL RIO ,, PINTO,Saavedra
-34.577296,-58.457854,260 - SAN MIGUEL DE GARICOITS,269,18,"Delgado & Loreto, Virrey",Delgado ,," Loreto, Virrey",Colegiales
-34.63008,-58.47426,365 - Venancio Flores,271,20,"Argerich & Flores, Venancio, Gral.",Argerich ,," Flores, Venancio, Gral.",Flores
-34.61668,-58.4466674,223 - GAINZA,273,16,"494 Gainza, Martin De, Gral."," Gainza, Martin De, Gral.",494,,Caballito
-34.5622136,-58.4588816,256 - PLAZA NORUEGA,275,20,Amenabar y Mendoza,Amenabar y Mendoza,,,Belgrano
-34.5634645,-58.4360367,292 - PLAZA BOLIVIA,277,12,Olleros Av. & Del Libertador Av.,Olleros Av. ,, Del Libertador Av.,Palermo
-34.564083,-58.469789,233 - MONROE,278,16,2519 Superi, Superi,2519,,Coghlan
-34.6333113,-58.4494755,222 - SIMON BOLIVAR,280,24,"1701 Fernandez Moreno, Baldomero"," Fernandez Moreno, Baldomero",1701,,Parque chacabuco
-34.6138773,-58.4583742,350 - Plaza Irlanda,281,24,Av. Gaona 2200,Av. Gaona ,2200,,Caballito
-34.6311092,-58.4350943,229 - RIGLOS,284,20,1019 Riglos, Riglos,1019,,Parque chacabuco
-34.5597934,-58.4484316,255 - BARRANCAS DE BELGRANO,289,24,"Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.","Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.",,,Belgrano
-34.616985,-58.381621,244 - UADE,291,16,Lima 750,Lima ,750,,Monserrat
-34.631486,-58.466293,221 - CULPINA,299,20,Culpina 121,Culpina ,121,,Flores
-34.6518464,-58.4156955,340 - PLAZA NUEVA POMPEYA,302,16,3817 Traful, Traful,3817,,Nueva pompeya
-34.567639,-58.436847,251 - Solar de la Abadía,308,20,Maure 1819,Maure ,1819,,Palermo
-34.605638,-58.4533609,205 - SAN MARTIN,316,16,1471 Cucha Cucha, Cucha Cucha,1471,,Villa crespo
-34.603935,-58.45732,285 - ESPINOSA,318,20,1785 Espinosa, Espinosa,1785,,Villa crespo
-34.5513269,-58.4541858,289 - MONTAÑESES,322,20,2786 Montañeses, Montañeses,2786,,Belgrano
-34.565275,-58.459401,240 - ECHEVERRIA,323,24,1981 Vidal, Vidal,1981,,Belgrano
-34.5931053,-58.4351681,100 - Plaza Gurruchaga,329,20,1078 Gurruchaga, Gurruchaga,1078,,Villa crespo
-34.615852,-58.470907,206 - Galicia,335,20,2502 Galicia, Galicia,2502,,Villa general mitre
-34.5986842,-58.3644782,237 - Madero Office,353,20,"367 Sanchez De Thompson, Mariquita"," Sanchez De Thompson, Mariquita",367,,Puerto madero
-34.5675048,-58.4465088,242 - Plazoleta Rafael del Riego,355,16,o´higins 1327,o´higins ,1327,,Palermo
-34.5615465,-58.4655255,249 - Balbín,358,12,2519 Conesa, Conesa,2519,,Belgrano
-34.555654,-58.4504687,250 - Fleni,359,20,2292 Montañeses, Montañeses,2292,,Belgrano
-34.569147,-58.453732,258 - Plaza J.J. Paso,361,20,1399 Moldes, Moldes,1399,,Colegiales
-34.568722,-58.434381,381 - Matienzo Y Arce,364,24,"1798 Matienzo, Benjamin, Teniente"," Matienzo, Benjamin, Teniente",1798,,Palermo
-34.626698,-58.4871352,324 - Las Victorias,376,20,"4083 Vallese, Felipe"," Vallese, Felipe",4083,,Floresta
-34.6019716,-58.4655301,278 - Donato Alvarez,387,16,"1540 Garcia, Juan Agustin"," Garcia, Juan Agustin",1540,,Paternal
-34.554754,-58.485419,297 - TRONADOR Y GARCÍA DEL RÍO,392,16,Tronador y Garcia del Rio,Tronador y Garcia del Rio,,,Coghlan
-34.5532664,-58.469072,257 - Plaza Francisco Ramirez,416,28,"2700 Pedraza, Manuela"," Pedraza, Manuela",2700,,Nuñez
-34.638584,-58.399683,387 - Luna,424,16,201 Luna, Luna,201,,Parque patricios
-34.555582,-58.457962,396 - PLAZA ALBERTI,426,20,Arcos & Roosevelt Franklin D.,Arcos ,, Roosevelt Franklin D.,Belgrano
-34.620249,-58.435877,187 - Jose Maria Moreno,432,20,141 Jose Maria Moreno, Jose Maria Moreno,141,,Caballito
-34.637491,-58.373638,273 - Plazoleta Colombia,433,20,1619 Brandsen, Brandsen,1619,,Barracas
-34.5445971,-58.4595541,227 -Club Ciudad de Buenos Aires,435,16,Miguel Sanchez y Av Libertadores,Miguel Sanchez y Av Libertadores,,,Nuñez
-34.61001199,-58.3749195,016 - Legislatura,441,20,"169 Peru & Roca, Julio A., Presidente Diagonal Sur Av.",169 Peru ,169," Roca, Julio A., Presidente Diagonal Sur Av.",Monserrat
-34.608678,-58.3710082,061-Ministerio de Economia,444,24,"Balcarce & Yrigoyen, Hipolito Av.",Balcarce ,," Yrigoyen, Hipolito Av.",San nicolas
-34.582618,-58.3787309,393 - Barrio 31,448,24,Carlos H. Perette 11,Carlos H. Perette ,11,,Retiro
-34.6289374,-58.4636606,352 - San Jose de Flores,449,24,Avenida Rivadavia y Fray Cayetano,Avenida Rivadavia y Fray Cayetano,,,Flores
